City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Avarua,CK,-21.21,-159.78,77.0,69,0,10.29,clear sky
83,Kruisfontein,ZA,-34.0,24.73,47.25,93,70,5.35,broken clouds
84,Castro,BR,-24.79,-50.01,57.47,82,0,2.71,clear sky
85,Priiskovyy,RU,51.93,116.63,65.01,56,67,9.37,broken clouds
86,Ormara,PK,25.21,64.64,82.24,85,50,13.15,scattered clouds
87,Bilma,NE,18.69,12.92,89.96,42,65,3.51,broken clouds
88,Broome,US,42.25,-75.83,68.0,88,75,4.7,light rain
89,Yarensk,RU,62.17,49.09,52.93,91,99,9.64,moderate rain
90,Port Alfred,ZA,-33.59,26.89,55.58,67,0,9.98,clear sky
91,Sobolevo,RU,54.43,31.9,49.46,93,92,2.8,overcast clouds
92,Lata,PT,40.16,-8.33,61.0,82,0,1.99,clear sky
93,Ilo,PE,-17.64,-71.34,59.54,84,81,9.04,broken clouds
94,Mahebourg,MU,-20.41,57.7,71.6,78,75,10.29,shower rain
95,Ushuaia,AR,-54.8,-68.3,32.0,90,90,32.21,heavy snow
96,Sao Joao Da Ponte,BR,-15.93,-44.01,64.49,75,37,8.14,scattered clouds
97,Ballarat,AU,-37.57,143.85,57.99,59,0,4.0,clear sky
98,Yeniseysk,RU,58.45,92.17,66.0,60,0,4.38,clear sky
99,Provideniya,RU,64.38,-173.3,51.8,71,90,6.71,overcast clouds
100,La Libertad,EC,-2.23,-80.9,69.8,88,75,11.41,broken clouds
101,Baruun-Urt,MN,46.68,113.28,67.8,64,23,12.19,few clouds
102,Esperance,AU,-33.87,121.9,57.2,67,90,25.28,overcast clouds
103,Opuwo,NA,-18.06,13.84,47.57,58,69,1.79,broken clouds
104,Cidreira,BR,-30.18,-50.21,63.97,82,100,11.3,overcast clouds
105,Sao Joao Da Barra,BR,-21.64,-41.05,72.0,87,0,15.03,clear sky
106,Kavieng,PG,-2.57,150.8,84.47,72,0,12.01,clear sky
107,Hilo,US,19.73,-155.09,84.2,51,1,8.05,clear sky
108,Santiago Del Estero,AR,-27.8,-64.26,61.38,82,0,5.19,clear sky
109,Tasiilaq,GL,65.61,-37.64,41.0,86,100,1.12,overcast clouds
110,Severobaykalsk,RU,55.65,109.32,54.52,88,99,0.92,light rain
111,Jamestown,US,42.1,-79.24,70.0,93,90,10.29,overcast clouds
112,Port Elizabeth,ZA,-33.92,25.57,50.0,81,17,5.82,few clouds
113,Bluff,NZ,-46.6,168.33,52.12,75,89,34.14,overcast clouds
114,Thompson,CA,55.74,-97.86,55.4,82,75,6.93,broken clouds
115,Kirakira,SB,-10.45,161.92,84.78,64,100,4.21,overcast clouds
116,Egvekinot,RU,66.32,-179.17,44.11,70,91,11.56,overcast clouds
117,Mar Del Plata,AR,-38.0,-57.56,57.2,93,90,2.24,mist
